Код,Номер распоряжения,Район,Адрес,Вид ограничения,Производитель работ,Инн подрядчика,Заказчик,Инн заказчика,Дата начала ограничения,Дата окончания ограничения
226718,705 -2015,центральный,"казанская ул., от невского пр. до гороховой ул., включая перекрестки с казанской пл. и пер.сергея тюленина",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,03.06.2015,24.06.2015
226719,706 -2015,центральный,"казанская ул., от невского пр. до гороховой ул., включая перекрестки с казанской пл. и пер.сергея тюленина",полное закрытие дв.,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,20.06.2015,21.06.2015
226721,687 -2015,курортный,"зеленогорское шоссе, от пер. связи до вокзальной ул.",огранич.движения,оао'мостострой №6',7812046562,оао'мостострой №6',7812046562,01.06.2015,08.08.2015
226722,688 -2015,курортный,"дальняя ул., в створе зеленогорского шоссе",полное закрытие дв.,оао'мостострой №6',7812046562,оао'мостострой №6',7812046562,01.06.2015,08.08.2015
226723,689 -2015,курортный,"большой пр., в створе зеленогорского шоссе",полное закрытие дв.,оао'мостострой №6',7812046562,оао'мостострой №6',7812046562,01.06.2015,08.08.2015
226724,690 -2015,курортный,"вокзальная ул., от зеленогорского шоссе до ул. репина",закрытие одного напр,оао'мостострой №6',7812046562,оао'мостострой №6',7812046562,01.06.2015,08.08.2015
226725,691 -2015,курортный,"луговая ул., от приморского шоссе до нагорной ул.",закрытие одного напр,оао'мостострой №6',7812046562,оао'мостострой №6',7812046562,01.06.2015,08.08.2015
226757,692 -2015,курортный,"нагорная ул., от луговой ул. до зеленогорского шоссе",закрытие одного напр,оао'мостострой №6',7812046562,оао'мостострой №6',7812046562,01.06.2015,08.08.2015
226766,708 -2015,кировский,"ул.червонного казачества, от пр.стачек до краснопутиловской ул.",полное закрытие дв.,ооо 'мтэр санкт-петербург',7839450780,оао 'теплосеть санкт-петербурга',7810577007,04.06.2015,15.10.2015
226774,720 -2015,невский,"зубковская ул., от ул.седова до ул.невзоровой",огранич.движения,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,01.06.2015,05.06.2015
226775,721 -2015,невский,"зубковская ул., от ул.седова до ул.невзоровой",полное закрытие дв.,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,06.06.2015,07.06.2015
226776,698 -2015,адмиралтейский,"г.санкт-петербург, перекресток гражданской ул. и столярного пер. (этап 1.2)",полное закрытие дв.,ооо'инженерная компания',7820031841,ооо 'петербурггаз',7838017541,06.06.2015,07.06.2015
226787,699 -2015,адмиралтейский,"г.санкт-петербург, перекресток гражданской ул.,пер.гривцова и наб.канала грибоедова",полное закрытие дв.,ооо'инженерная компания',7820031841,ооо 'петербурггаз',7838017541,12.06.2015,28.06.2015
226788,700 -2015,адмиралтейский,"вознесенский пр., от казанской ул. до наб.канала грибоедова (этап 1.1)",полное закрытие дв.,ооо'инженерная компания',7820031841,ооо 'петербурггаз',7838017541,20.06.2015,21.06.2015
226789,701 -2015,адмиралтейский,"казанская ул., от фонарного пер. до вознесенского пр. (этап 1.1)",закрытие одного напр,ооо'инженерная компания',7820031841,ооо 'петербурггаз',7838017541,20.06.2015,21.06.2015
226790,702 -2015,адмиралтейский,"наб.кан.грибоедова, (нечетная сторона) от фонарного пер. до вознесенского пр. (этап 1.1)",закрытие одного напр,ооо'инженерная компания',7820031841,ооо 'петербурггаз',7838017541,20.06.2015,21.06.2015
